,case_number,type,country,area,location,species_,date,mes,fatal_(y/n)_limpio,sex,country_,year,age
5721,1956.09.13,Unprovoked,Unknown,,,Unspecified,13-Sep-1956,Sep,Y,M,,1991.5833443275412,25.0
5722,1956.09.00.b,Unprovoked,Unknown,,,Unspecified,Sep-1956,,Y,F,,1991.5833443275412,25.0
5723,1956.09.00.a,Unprovoked,Unknown,,,Unspecified,Sep-1956,,N,M,,1991.5833443275412,25.0
5724,1956.08.25,Unprovoked,Unknown,,,Unspecified,25-Aug-1956,Aug,Y,M,,1991.5833443275412,25.0
5725,1956.08.20,Unprovoked,Unknown,,,Unspecified,20-Aug-1956,Aug,N,F,,1991.5833443275412,25.0
5726,1956.08.15.R,Unprovoked,Unknown,,,Unspecified,Reported 15-Aug-1956,Aug,Y,F,,1991.5833443275412,25.0
5727,1956.08.15.b,Unprovoked,Unknown,,,Unspecified,15-Aug-1956,Aug,N,M,,1991.5833443275412,25.0
5728,1956.08.15.a,Unprovoked,Unknown,,,Unspecified,15-Aug-1956,Aug,N,M,,1991.5833443275412,25.0
5729,1956.08.01,Unprovoked,Unknown,,,Unspecified,1-Aug-1956,Aug,N,M,,1991.5833443275412,25.0
5730,1956.08.00.e,Unprovoked,Unknown,,,Unspecified,Aug-1956,,Y,M,,1991.5833443275412,25.0
5731,1956.08.00.d,Unprovoked,Unknown,,,Unspecified,Aug-1956,,Y,M,,1991.5833443275412,25.0
5732,1956.08.00.c,Unprovoked,Unknown,,,Unspecified,Aug-1956,,N,M,,1991.5833443275412,25.0
5733,1956.08.00.b,Unprovoked,Unknown,,,Unspecified,Aug-1956,,N,M,,1991.5833443275412,25.0
5734,1956.08.00.a,Unprovoked,Unknown,,,Unspecified,Aug-1956,,N,F,,1991.5833443275412,25.0
5735,1956.07.28,Unprovoked,Unknown,,,Unspecified,28-Jul-1956,Jul,Y,M,,1991.5833443275412,25.0
5736,1956.07.26,Unprovoked,Unknown,,,Unspecified,26-Jul-1956,Jul,N,F,,1991.5833443275412,25.0
5737,1956.07.20,Unprovoked,Unknown,,,Unspecified,20-Jul-1956,Jul,Y,M,,1991.5833443275412,25.0
5738,1956.07.17,Unprovoked,Unknown,,,Unspecified,17-Jul-1956,Jul,N,M,,1991.5833443275412,25.0
5739,1956.07.12,Unprovoked,Unknown,,,Unspecified,12-Jul-1956,Jul,N,F,,1991.5833443275412,25.0
5740,1956.06.28,Unprovoked,Unknown,,,Unspecified,28-Jun-1956,Jun,N,F,,1991.5833443275412,25.0
5741,1956.06.22,Unprovoked,Unknown,,,Unspecified, 22-Jun-1956,Jun,Y,M,,1991.5833443275412,25.0
5742,1956.06.20,Unprovoked,Unknown,,,Unspecified,20-Jun-1956,Jun,Y,M,,1991.5833443275412,25.0
5743,1956.05.26.R,Unprovoked,Unknown,,,Unspecified,Reported 26-May-1956,May,N,F,,1991.5833443275412,25.0
5744,1956.05.07,Unprovoked,Unknown,,,Unspecified,07-May-1956,May,Y,M,,1991.5833443275412,25.0
5745,1956.05.00,Unprovoked,Unknown,,,Unspecified,May 1956,,N,F,,1991.5833443275412,25.0
5746,1956.03.25,Unprovoked,Unknown,,,Unspecified,25-Mar-1956,Mar,Unknown,F,,1991.5833443275412,25.0
5747,1956.03.11,Unprovoked,Unknown,,,Unspecified,11-Mar-1956,Mar,N,F,,1991.5833443275412,25.0
5748,1956.03.04,Unprovoked,Unknown,,,Unspecified,04-Mar-1956,Mar,Y,M,,1991.5833443275412,25.0
5749,1956.03.00.b,Unprovoked,Unknown,,,Unspecified,Mar-1956,,N,F,,1991.5833443275412,25.0
